Source =====>/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/express/benchmarks/middleware.js use 11 2 20
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/express/examples/auth/index.js nan 105 53 158 =======> 0.000000025269
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/express/examples/auth/index.js nan 110 29 165 =======> 0.000103160142
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/express/lib/express.js createApplication 37 0 2872 =======> 0.438115715981
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/express/lib/express.js nan 38 12 2875 =======> 0.000008911071
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/express/lib/express.js nan 109 27 2913 =======> 0.000004325482
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/express/lib/express.js nan 111 9 2919 =======> 0.027249004692
Total Relevent edge above 0.9 ===>  0/17
Total Random edge above 0.9 ===>  0/1000


Source =====>/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/express/examples/auth/index.js use 21 0 59
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/express/examples/auth/index.js nan 30 8 72 =======> 0.264686167240
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/express/examples/auth/index.js nan 50 29 98 =======> 0.022481989115
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/express/examples/auth/index.js authenticate 60 0 103 =======> 0.089223682880
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/express/examples/auth/index.js nan 68 44 120 =======> 0.001299017225
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/express/examples/auth/index.js restrict 75 0 128 =======> 0.000153460365
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/express/examples/auth/index.js nan 84 13 136 =======> 0.868079423904
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/express/examples/auth/index.js nan 88 33 139 =======> 0.886602401733
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/express/examples/auth/index.js nan 92 19 143 =======> 0.904513478279
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/express/examples/auth/index.js nan 95 22 146 =======> 0.662265062332
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/express/examples/auth/index.js nan 100 18 149 =======> 0.859753847122
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/express/examples/auth/index.js nan 104 19 154 =======> 0.726049661636
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/express/examples/auth/index.js nan 105 53 158 =======> 0.089676879346
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/express/examples/auth/index.js nan 110 29 165 =======> 0.111542619765
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/express/lib/express.js createApplication 37 0 2872 =======> 0.651173114777
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/express/lib/express.js nan 38 12 2875 =======> 0.570436894894
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/express/lib/express.js nan 109 27 2913 =======> 0.033142946661
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/express/lib/express.js nan 111 9 2919 =======> 0.045659221709
Total Relevent edge above 0.9 ===>  1/17
Total Random edge above 0.9 ===>  0/1000


Source =====>/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/express/examples/auth/index.js urlencoded 21 8 61
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/express/examples/auth/index.js nan 30 8 72 =======> 0.000000826289
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/express/examples/auth/index.js nan 50 29 98 =======> 0.000000033164
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/express/examples/auth/index.js authenticate 60 0 103 =======> 0.000000289889
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/express/examples/auth/index.js nan 68 44 120 =======> 0.000000004553
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/express/examples/auth/index.js restrict 75 0 128 =======> 0.000000005591
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/express/examples/auth/index.js nan 84 13 136 =======> 0.000037939797
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/express/examples/auth/index.js nan 88 33 139 =======> 0.000114317889
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/express/examples/auth/index.js nan 92 19 143 =======> 0.000071334747
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/express/examples/auth/index.js nan 95 22 146 =======> 0.000084794949
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/express/examples/auth/index.js nan 100 18 149 =======> 0.000036833837
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/express/examples/auth/index.js nan 104 19 154 =======> 0.000010432100
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/express/examples/auth/index.js nan 105 53 158 =======> 0.000000173744
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/express/examples/auth/index.js nan 110 29 165 =======> 0.000304955029
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/express/lib/express.js createApplication 37 0 2872 =======> 0.994239807129
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/express/lib/express.js nan 38 12 2875 =======> 0.000080783313
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/express/lib/express.js nan 109 27 2913 =======> 0.000011892474
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/express/lib/express.js nan 111 9 2919 =======> 0.129491686821
Total Relevent edge above 0.9 ===>  1/17
Total Random edge above 0.9 ===>  0/1000


Source =====>/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/express/examples/auth/index.js use 22 0 65
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/express/examples/auth/index.js nan 30 8 72 =======> 0.430950671434
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/express/examples/auth/index.js nan 50 29 98 =======> 0.459744125605
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/express/examples/auth/index.js authenticate 60 0 103 =======> 0.600109517574
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/express/examples/auth/index.js nan 68 44 120 =======> 0.039823565632
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/express/examples/auth/index.js restrict 75 0 128 =======> 0.004241760354
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/express/examples/auth/index.js nan 84 13 136 =======> 0.563561618328
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/express/examples/auth/index.js nan 88 33 139 =======> 0.643337905407
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/express/examples/auth/index.js nan 92 19 143 =======> 0.685444712639
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/express/examples/auth/index.js nan 95 22 146 =======> 0.503932893276
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/express/examples/auth/index.js nan 100 18 149 =======> 0.585014700890
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/express/examples/auth/index.js nan 104 19 154 =======> 0.847374439240
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/express/examples/auth/index.js nan 105 53 158 =======> 0.372927188873
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/express/examples/auth/index.js nan 110 29 165 =======> 0.089437864721
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/express/lib/express.js createApplication 37 0 2872 =======> 0.100706659257
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/express/lib/express.js nan 38 12 2875 =======> 0.481010854244
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/express/lib/express.js nan 109 27 2913 =======> 0.075925849378
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/express/lib/express.js nan 111 9 2919 =======> 0.028890425339
Total Relevent edge above 0.9 ===>  0/17
Total Random edge above 0.9 ===>  0/1000


Source =====>/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/express/examples/auth/index.js session 22 8 66
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/express/examples/auth/index.js nan 30 8 72 =======> 0.006989920512
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/express/examples/auth/index.js nan 50 29 98 =======> 0.000200369279
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/express/examples/auth/index.js authenticate 60 0 103 =======> 0.002696330193
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/express/examples/auth/index.js nan 68 44 120 =======> 0.000014612211
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/express/examples/auth/index.js restrict 75 0 128 =======> 0.000088070730
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/express/examples/auth/index.js nan 84 13 136 =======> 0.002414236777
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/express/examples/auth/index.js nan 88 33 139 =======> 0.018955895677
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/express/examples/auth/index.js nan 92 19 143 =======> 0.010010730475
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/express/examples/auth/index.js nan 95 22 146 =======> 0.066351458430
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/express/examples/auth/index.js nan 100 18 149 =======> 0.005108634941
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/express/examples/auth/index.js nan 104 19 154 =======> 0.023197825998
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/express/examples/auth/index.js nan 105 53 158 =======> 0.000934227486
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/express/examples/auth/index.js nan 110 29 165 =======> 0.762746274471
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/express/lib/express.js createApplication 37 0 2872 =======> 0.922786891460
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/express/lib/express.js nan 38 12 2875 =======> 0.315495252609
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/express/lib/express.js nan 109 27 2913 =======> 0.071473814547
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/express/lib/express.js nan 111 9 2919 =======> 0.972982525826
Total Relevent edge above 0.9 ===>  2/17
Total Random edge above 0.9 ===>  0/1000


Source =====>/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/express/examples/auth/index.js use 30 0 71
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/express/examples/auth/index.js nan 30 8 72 =======> 0.970260560513
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/express/examples/auth/index.js nan 50 29 98 =======> 0.932796299458
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/express/examples/auth/index.js authenticate 60 0 103 =======> 0.967867791653
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/express/examples/auth/index.js nan 68 44 120 =======> 0.760952413082
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/express/examples/auth/index.js restrict 75 0 128 =======> 0.001522414270
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/express/examples/auth/index.js nan 84 13 136 =======> 0.289017170668
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/express/examples/auth/index.js nan 88 33 139 =======> 0.446976780891
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/express/examples/auth/index.js nan 92 19 143 =======> 0.536977112293
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/express/examples/auth/index.js nan 95 22 146 =======> 0.944438457489
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/express/examples/auth/index.js nan 100 18 149 =======> 0.454390883446
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/express/examples/auth/index.js nan 104 19 154 =======> 0.892551779747
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/express/examples/auth/index.js nan 105 53 158 =======> 0.984490573406
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/express/examples/auth/index.js nan 110 29 165 =======> 0.067648954690
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/express/lib/express.js createApplication 37 0 2872 =======> 0.004379343707
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/express/lib/express.js nan 38 12 2875 =======> 0.852221131325
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/express/lib/express.js nan 109 27 2913 =======> 0.524124681950
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/express/lib/express.js nan 111 9 2919 =======> 0.009221848100
Total Relevent edge above 0.9 ===>  5/17
Total Random edge above 0.9 ===>  0/1000


Source =====>/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/express/examples/auth/index.js next 38 2 88
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/express/examples/auth/index.js nan 30 8 72 =======> 0.001177018858
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/express/examples/auth/index.js nan 50 29 98 =======> 0.000024234561
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/express/examples/auth/index.js authenticate 60 0 103 =======> 0.003264105879
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/express/examples/auth/index.js nan 68 44 120 =======> 0.000025371670
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/express/examples/auth/index.js restrict 75 0 128 =======> 0.000001462154
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/express/examples/auth/index.js nan 84 13 136 =======> 0.000029163457
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/express/examples/auth/index.js nan 88 33 139 =======> 0.000051727038
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/express/examples/auth/index.js nan 92 19 143 =======> 0.000055680546
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/express/examples/auth/index.js nan 95 22 146 =======> 0.009616338648
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/express/examples/auth/index.js nan 100 18 149 =======> 0.000043439999
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/express/examples/auth/index.js nan 104 19 154 =======> 0.000064327272
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/express/examples/auth/index.js nan 105 53 158 =======> 0.002014934784
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/express/examples/auth/index.js nan 110 29 165 =======> 0.004866491072
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/express/lib/express.js createApplication 37 0 2872 =======> 0.000946455926
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/express/lib/express.js nan 38 12 2875 =======> 0.021884271875
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/express/lib/express.js nan 109 27 2913 =======> 0.066555231810
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/express/lib/express.js nan 111 9 2919 =======> 0.013876587152
Total Relevent edge above 0.9 ===>  0/17
Total Random edge above 0.9 ===>  0/1000


Source =====>/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/express/examples/auth/index.js hash 50 0 95
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/express/examples/auth/index.js nan 30 8 72 =======> 0.977717041969
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/express/examples/auth/index.js nan 50 29 98 =======> 0.996063768864
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/express/examples/auth/index.js authenticate 60 0 103 =======> 0.998673915863
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/express/examples/auth/index.js nan 68 44 120 =======> 0.979581832886
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/express/examples/auth/index.js restrict 75 0 128 =======> 0.228355392814
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/express/examples/auth/index.js nan 84 13 136 =======> 0.032684579492
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/express/examples/auth/index.js nan 88 33 139 =======> 0.053006324917
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/express/examples/auth/index.js nan 92 19 143 =======> 0.080749571323
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/express/examples/auth/index.js nan 95 22 146 =======> 0.510959148407
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/express/examples/auth/index.js nan 100 18 149 =======> 0.059901732951
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/express/examples/auth/index.js nan 104 19 154 =======> 0.420078337193
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/express/examples/auth/index.js nan 105 53 158 =======> 0.992719411850
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/express/examples/auth/index.js nan 110 29 165 =======> 0.099689371884
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/express/lib/express.js createApplication 37 0 2872 =======> 0.001128984150
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/express/lib/express.js nan 38 12 2875 =======> 0.629128217697
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/express/lib/express.js nan 109 27 2913 =======> 0.757260143757
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/express/lib/express.js nan 111 9 2919 =======> 0.026862753555
Total Relevent edge above 0.9 ===>  5/17
Total Random edge above 0.9 ===>  0/1000


Source =====>/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/express/examples/auth/index.js hash 68 2 118
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/express/examples/auth/index.js nan 30 8 72 =======> 0.973636507988
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/express/examples/auth/index.js nan 50 29 98 =======> 0.991456091404
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/express/examples/auth/index.js authenticate 60 0 103 =======> 0.999731600285
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/express/examples/auth/index.js nan 68 44 120 =======> 0.985768139362
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/express/examples/auth/index.js restrict 75 0 128 =======> 0.633358895779
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/express/examples/auth/index.js nan 84 13 136 =======> 0.019778491929
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/express/examples/auth/index.js nan 88 33 139 =======> 0.037050358951
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/express/examples/auth/index.js nan 92 19 143 =======> 0.052319481969
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/express/examples/auth/index.js nan 95 22 146 =======> 0.486254215240
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/express/examples/auth/index.js nan 100 18 149 =======> 0.038133796304
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/express/examples/auth/index.js nan 104 19 154 =======> 0.338491737843
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/express/examples/auth/index.js nan 105 53 158 =======> 0.995542466640
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/express/examples/auth/index.js nan 110 29 165 =======> 0.102669611573
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/express/lib/express.js createApplication 37 0 2872 =======> 0.000721491931
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/express/lib/express.js nan 38 12 2875 =======> 0.644506514072
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/express/lib/express.js nan 109 27 2913 =======> 0.874913930893
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/express/lib/express.js nan 111 9 2919 =======> 0.021106863394
Total Relevent edge above 0.9 ===>  5/17
Total Random edge above 0.9 ===>  0/1000


Source =====>/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/express/examples/auth/index.js next 77 4 131
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/express/examples/auth/index.js nan 30 8 72 =======> 0.000034673150
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/express/examples/auth/index.js nan 50 29 98 =======> 0.000001552779
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/express/examples/auth/index.js authenticate 60 0 103 =======> 0.000082142491
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/express/examples/auth/index.js nan 68 44 120 =======> 0.000000188074
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/express/examples/auth/index.js restrict 75 0 128 =======> 0.000000182194
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/express/examples/auth/index.js nan 84 13 136 =======> 0.000006806823
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/express/examples/auth/index.js nan 88 33 139 =======> 0.000033102195
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/express/examples/auth/index.js nan 92 19 143 =======> 0.000019979696
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/express/examples/auth/index.js nan 95 22 146 =======> 0.000179723909
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/express/examples/auth/index.js nan 100 18 149 =======> 0.000011747346
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/express/examples/auth/index.js nan 104 19 154 =======> 0.000027780727
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/express/examples/auth/index.js nan 105 53 158 =======> 0.000009478826
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/express/examples/auth/index.js nan 110 29 165 =======> 0.005858655553
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/express/lib/express.js createApplication 37 0 2872 =======> 0.002250824356
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/express/lib/express.js nan 38 12 2875 =======> 0.000813389139
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/express/lib/express.js nan 109 27 2913 =======> 0.005626421887
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/express/lib/express.js nan 111 9 2919 =======> 0.105729542673
Total Relevent edge above 0.9 ===>  0/17
Total Random edge above 0.9 ===>  0/1000


Source =====>/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/express/examples/auth/index.js redirect 80 4 132
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/express/examples/auth/index.js nan 30 8 72 =======> 0.000284672627
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/express/examples/auth/index.js nan 50 29 98 =======> 0.000008344599
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/express/examples/auth/index.js authenticate 60 0 103 =======> 0.000156478724
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/express/examples/auth/index.js nan 68 44 120 =======> 0.000000970469
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/express/examples/auth/index.js restrict 75 0 128 =======> 0.000000241513
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/express/examples/auth/index.js nan 84 13 136 =======> 0.000092911730
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/express/examples/auth/index.js nan 88 33 139 =======> 0.000428130705
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/express/examples/auth/index.js nan 92 19 143 =======> 0.000267497875
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/express/examples/auth/index.js nan 95 22 146 =======> 0.002407060703
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/express/examples/auth/index.js nan 100 18 149 =======> 0.000146968989
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/express/examples/auth/index.js nan 104 19 154 =======> 0.000256148283
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/express/examples/auth/index.js nan 105 53 158 =======> 0.000057189394
