Source =====>/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/__tests__/MultiRequire.js Map 66 13 234
Source =====>/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/resources/benchmark.js promisify 23 15 1021
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/resources/benchmark.js promisify 8 0 986 =======> 0.225288882852
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/resources/benchmark.js nan 9 9 990 =======> 0.365909636021
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/resources/benchmark.js nan 10 23 994 =======> 0.403701126575
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/resources/benchmark.js nan 15 18 1007 =======> 0.581423163414
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/resources/benchmark.js nan 33 8 1041 =======> 0.039983451366
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/resources/benchmark.js nan 38 8 1056 =======> 0.114061102271
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/resources/benchmark.js nan 39 23 1061 =======> 0.320017278194
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/resources/benchmark.js nan 54 8 1075 =======> 0.055670559406
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/resources/benchmark.js nan 56 12 1081 =======> 0.078004196286
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/resources/benchmark.js nan 58 24 1086 =======> 0.095033839345
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/resources/benchmark.js nan 59 66 1092 =======> 0.155626207590
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/resources/benchmark.js nan 70 12 1095 =======> 0.143869340420
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/resources/benchmark.js nan 73 24 1101 =======> 0.077318385243
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/resources/benchmark.js nan 74 26 1105 =======> 0.015767466277
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/resources/benchmark.js describe 80 12 1116 =======> 0.035793900490
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/resources/benchmark.js beforeEach 90 12 1126 =======> 0.004537699278
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/resources/benchmark.js nan 93 19 1131 =======> 0.394066870213
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/resources/benchmark.js nan 94 27 1133 =======> 0.649728655815
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/resources/benchmark.js it 101 12 1136 =======> 0.000673744129
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/resources/benchmark.js nan 136 38 1155 =======> 0.520184695721
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/resources/benchmark.js nan 141 8 1158 =======> 0.132374390960
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/resources/benchmark.js nan 144 18 1163 =======> 0.196917340159
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/resources/benchmark.js nan 146 17 1170 =======> 0.208462923765
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/resources/benchmark.js nan 150 20 1182 =======> 0.013231280260
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/resources/benchmark.js nan 154 12 1187 =======> 0.305615037680
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/resources/benchmark.js pad 159 10 1190 =======> 0.011240357533
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/resources/benchmark.js fmt 163 10 1201 =======> 0.633368074894
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/resources/benchmark.js pct 169 10 1210 =======> 0.415758877993
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/resources/benchmark.js sq 242 12 1269 =======> 0.745636820793
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/resources/benchmark.js nan 258 25 1281 =======> 0.106212444603
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/resources/benchmark.js nan 270 30 1293 =======> 0.721800148487
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/resources/benchmark.js nan 278 8 1299 =======> 0.012475081719
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/resources/benchmark.js nan 281 9 1302 =======> 0.032746948302
Total edge above 0.9 ===>  0


Source =====>/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/resources/benchmark.js exec 31 2 1039
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/resources/benchmark.js promisify 8 0 986 =======> 0.780303239822
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/resources/benchmark.js nan 9 9 990 =======> 0.348259478807
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/resources/benchmark.js nan 10 23 994 =======> 0.614045143127
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/resources/benchmark.js nan 15 18 1007 =======> 0.396148592234
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/resources/benchmark.js nan 33 8 1041 =======> 0.086760625243
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/resources/benchmark.js nan 38 8 1056 =======> 0.172308951616
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/resources/benchmark.js nan 39 23 1061 =======> 0.511137008667
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/resources/benchmark.js nan 54 8 1075 =======> 0.308009028435
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/resources/benchmark.js nan 56 12 1081 =======> 0.240409016609
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/resources/benchmark.js nan 58 24 1086 =======> 0.211340412498
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/resources/benchmark.js nan 59 66 1092 =======> 0.618022441864
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/resources/benchmark.js nan 70 12 1095 =======> 0.319962799549
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/resources/benchmark.js nan 73 24 1101 =======> 0.412269115448
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/resources/benchmark.js nan 74 26 1105 =======> 0.146597772837
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/resources/benchmark.js describe 80 12 1116 =======> 0.314780861139
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/resources/benchmark.js beforeEach 90 12 1126 =======> 0.014099885710
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/resources/benchmark.js nan 93 19 1131 =======> 0.365144968033
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/resources/benchmark.js nan 94 27 1133 =======> 0.657700538635
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/resources/benchmark.js it 101 12 1136 =======> 0.008120256476
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/resources/benchmark.js nan 136 38 1155 =======> 0.441662251949
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/resources/benchmark.js nan 141 8 1158 =======> 0.305993348360
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/resources/benchmark.js nan 144 18 1163 =======> 0.577101051807
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/resources/benchmark.js nan 146 17 1170 =======> 0.351713865995
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/resources/benchmark.js nan 150 20 1182 =======> 0.093181751668
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/resources/benchmark.js nan 154 12 1187 =======> 0.291385978460
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/resources/benchmark.js pad 159 10 1190 =======> 0.090861298144
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/resources/benchmark.js fmt 163 10 1201 =======> 0.598715722561
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/resources/benchmark.js pct 169 10 1210 =======> 0.734963834286
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/resources/benchmark.js sq 242 12 1269 =======> 0.731719374657
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/resources/benchmark.js nan 258 25 1281 =======> 0.596362113953
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/resources/benchmark.js nan 270 30 1293 =======> 0.356466799974
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/resources/benchmark.js nan 278 8 1299 =======> 0.141768738627
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/resources/benchmark.js nan 281 9 1302 =======> 0.299912095070
Total edge above 0.9 ===>  0


Source =====>/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/resources/benchmark.js readFile 59 19 1090
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/resources/benchmark.js promisify 8 0 986 =======> 0.258433878422
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/resources/benchmark.js nan 9 9 990 =======> 0.647002220154
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/resources/benchmark.js nan 10 23 994 =======> 0.452656775713
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/resources/benchmark.js nan 15 18 1007 =======> 0.575626492500
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/resources/benchmark.js nan 33 8 1041 =======> 0.276157140732
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/resources/benchmark.js nan 38 8 1056 =======> 0.440792888403
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/resources/benchmark.js nan 39 23 1061 =======> 0.279762476683
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/resources/benchmark.js nan 54 8 1075 =======> 0.136528119445
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/resources/benchmark.js nan 56 12 1081 =======> 0.243841499090
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/resources/benchmark.js nan 58 24 1086 =======> 0.337628245354
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/resources/benchmark.js nan 59 66 1092 =======> 0.263531297445
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/resources/benchmark.js nan 70 12 1095 =======> 0.176768198609
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/resources/benchmark.js nan 73 24 1101 =======> 0.058469988406
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/resources/benchmark.js nan 74 26 1105 =======> 0.008377034217
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/resources/benchmark.js describe 80 12 1116 =======> 0.056362345815
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/resources/benchmark.js beforeEach 90 12 1126 =======> 0.009040343575
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/resources/benchmark.js nan 93 19 1131 =======> 0.640087723732
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/resources/benchmark.js nan 94 27 1133 =======> 0.760283648968
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/resources/benchmark.js it 101 12 1136 =======> 0.001254106406
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/resources/benchmark.js nan 136 38 1155 =======> 0.775727868080
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/resources/benchmark.js nan 141 8 1158 =======> 0.146016865969
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/resources/benchmark.js nan 144 18 1163 =======> 0.106226205826
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/resources/benchmark.js nan 146 17 1170 =======> 0.228128850460
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/resources/benchmark.js nan 150 20 1182 =======> 0.009853893891
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/resources/benchmark.js nan 154 12 1187 =======> 0.656420111656
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/resources/benchmark.js pad 159 10 1190 =======> 0.022980842739
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/resources/benchmark.js fmt 163 10 1201 =======> 0.906255602837
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/resources/benchmark.js pct 169 10 1210 =======> 0.769906044006
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/resources/benchmark.js sq 242 12 1269 =======> 0.928575277328
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/resources/benchmark.js nan 258 25 1281 =======> 0.056768514216
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/resources/benchmark.js nan 270 30 1293 =======> 0.922986626625
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/resources/benchmark.js nan 278 8 1299 =======> 0.010047146119
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/resources/benchmark.js nan 281 9 1302 =======> 0.022848796099
Total edge above 0.9 ===>  0


Source =====>/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/resources/benchmark.js pad 196 18 1235
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/resources/benchmark.js promisify 8 0 986 =======> 0.619287133217
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/resources/benchmark.js nan 9 9 990 =======> 0.010434007272
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/resources/benchmark.js nan 10 23 994 =======> 0.082997210324
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/resources/benchmark.js nan 15 18 1007 =======> 0.031224001199
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/resources/benchmark.js nan 33 8 1041 =======> 0.019442139193
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/resources/benchmark.js nan 38 8 1056 =======> 0.019803930074
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/resources/benchmark.js nan 39 23 1061 =======> 0.035874921829
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/resources/benchmark.js nan 54 8 1075 =======> 0.096573293209
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/resources/benchmark.js nan 56 12 1081 =======> 0.071513064206
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/resources/benchmark.js nan 58 24 1086 =======> 0.051994021982
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/resources/benchmark.js nan 59 66 1092 =======> 0.174912512302
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/resources/benchmark.js nan 70 12 1095 =======> 0.032099772245
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/resources/benchmark.js nan 73 24 1101 =======> 0.082398690283
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/resources/benchmark.js nan 74 26 1105 =======> 0.019840648398
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/resources/benchmark.js describe 80 12 1116 =======> 0.527726531029
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/resources/benchmark.js beforeEach 90 12 1126 =======> 0.687072813511
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/resources/benchmark.js nan 93 19 1131 =======> 0.012911628000
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/resources/benchmark.js nan 94 27 1133 =======> 0.011779246852
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/resources/benchmark.js it 101 12 1136 =======> 0.301135420799
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/resources/benchmark.js nan 136 38 1155 =======> 0.013622751459
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/resources/benchmark.js nan 141 8 1158 =======> 0.022545509040
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/resources/benchmark.js nan 144 18 1163 =======> 0.049469869584
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/resources/benchmark.js nan 146 17 1170 =======> 0.027708051726
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/resources/benchmark.js nan 150 20 1182 =======> 0.024445151910
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/resources/benchmark.js nan 154 12 1187 =======> 0.006019714754
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/resources/benchmark.js pad 159 10 1190 =======> 0.857183635235
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/resources/benchmark.js fmt 163 10 1201 =======> 0.023608481511
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/resources/benchmark.js pct 169 10 1210 =======> 0.335214972496
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/resources/benchmark.js sq 242 12 1269 =======> 0.100063487887
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/resources/benchmark.js nan 258 25 1281 =======> 0.094231083989
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/resources/benchmark.js nan 270 30 1293 =======> 0.005100689363
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/resources/benchmark.js nan 278 8 1299 =======> 0.290340214968
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/resources/benchmark.js nan 281 9 1302 =======> 0.099340014160
Total edge above 0.9 ===>  0


Source =====>/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/Collection.js isAssociative 27 35 1681
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/Collection.js nan 8 13 1645 =======> 0.092262387276
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/Collection.js nan 14 13 1656 =======> 0.638894617558
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/Collection.js nan 20 13 1666 =======> 0.426337063313
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/Collection.js nan 26 13 1676 =======> 0.470514327288
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/Seq.js nan 25 13 6821 =======> 0.923784494400
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/Seq.js nan 33 7 6835 =======> 0.213339403272
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/Seq.js nan 37 10 6839 =======> 0.000121573299
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/Seq.js nan 41 13 6845 =======> 0.057059288025
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/Seq.js nan 51 11 6859 =======> 0.000093476752
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/Seq.js nan 69 12 6882 =======> 0.000088547953
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/Seq.js nan 74 26 6890 =======> 0.000063974905
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/Seq.js nan 87 13 6908 =======> 0.310382425785
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/Seq.js nan 99 12 6927 =======> 0.000798724592
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/Seq.js nan 105 13 6934 =======> 0.467301517725
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/Seq.js nan 117 11 6953 =======> 0.000183172422
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/Seq.js nan 121 14 6958 =======> 0.000603594293
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/Seq.js nan 125 10 6961 =======> 0.000122021949
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/Seq.js nan 131 13 6969 =======> 0.370671451092
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/Seq.js nan 137 11 6979 =======> 0.000175086563
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/Seq.js nan 141 10 6983 =======> 0.000579513377
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/Seq.js nan 156 13 6994 =======> 0.573525667191
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/Seq.js nan 161 5 6999 =======> 0.000109264394
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/Seq.js nan 165 11 7008 =======> 0.000158029157
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/Seq.js nan 178 12 7023 =======> 0.000264081202
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/Seq.js nan 182 24 7029 =======> 0.000071985225
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/Seq.js nan 193 13 7043 =======> 0.057696402073
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/Seq.js nan 202 5 7058 =======> 0.000064451982
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/Seq.js nan 209 5 7066 =======> 0.006826702040
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/Seq.js nan 213 11 7071 =======> 0.000062851606
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/Seq.js nan 227 12 7086 =======> 0.000095522068
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/Seq.js nan 232 24 7093 =======> 0.000072109724
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/Seq.js nan 244 13 7107 =======> 0.228000715375
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/Seq.js nan 249 19 7111 =======> 0.000014968044
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/Seq.js nan 267 20 7137 =======> 0.000013439097
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/Seq.js nan 277 24 7153 =======> 0.000117678923
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/Seq.js emptySequence 288 0 7162 =======> 0.501815378666
