Source =====>/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/classes/comparator.js parseOptions 94 14 168
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/classes/range.js nan 138 38 399 =======> 0.032462380826
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/classes/range.js nan 154 13 424 =======> 0.744860589504
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/classes/range.js nan 159 25 432 =======> 0.001765487134
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/classes/range.js nan 162 23 438 =======> 0.001038984861
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/classes/range.js nan 165 34 444 =======> 0.002129284898
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/classes/range.js nan 166 44 448 =======> 0.001802430139
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/classes/range.js nan 177 7 454 =======> 0.865212678909
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/classes/range.js nan 217 18 502 =======> 0.347561448812
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/classes/range.js nan 218 14 504 =======> 0.144642755389
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/classes/range.js nan 222 22 506 =======> 0.141749188304
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/classes/range.js nan 228 40 518 =======> 0.001293158624
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/classes/range.js nan 241 24 525 =======> 0.828965187073
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/classes/range.js nan 254 12 542 =======> 0.994549572468
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/classes/range.js nan 263 22 548 =======> 0.043250240386
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/classes/range.js nan 267 9 554 =======> 0.058146450669
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/classes/range.js nan 271 21 558 =======> 0.064017526805
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/classes/range.js nan 273 25 565 =======> 0.428399890661
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/classes/range.js nan 307 22 614 =======> 0.032886710018
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/classes/range.js nan 311 9 620 =======> 0.029154460877
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/classes/range.js nan 315 21 624 =======> 0.275066494942
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/classes/range.js nan 319 25 635 =======> 0.406229317188
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/classes/range.js nan 368 23 729 =======> 0.127743303776
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/classes/range.js nan 372 9 735 =======> 0.033206474036
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/classes/range.js nan 376 22 739 =======> 0.135764032602
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/classes/range.js nan 379 25 747 =======> 0.356036096811
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/classes/range.js nan 453 21 801 =======> 0.154270827770
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/classes/range.js nan 461 20 808 =======> 0.149300172925
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/classes/range.js nan 473 22 817 =======> 0.619356632233
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/classes/range.js nan 473 31 819 =======> 0.016633797437
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/classes/range.js nan 505 16 898 =======> 0.917023897171
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/classes/semver.js nan 8 14 955 =======> 0.921134591103
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/classes/semver.js nan 64 44 1029 =======> 0.139985799789
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/classes/semver.js nan 79 9 1047 =======> 0.771510958672
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/classes/semver.js nan 87 11 1062 =======> 0.462437868118
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/classes/semver.js nan 91 10 1066 =======> 0.243732675910
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/classes/semver.js nan 107 14 1083 =======> 0.292077422142
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/classes/semver.js nan 119 13 1092 =======> 0.615358769894
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/classes/semver.js nan 152 15 1130 =======> 0.136280715466
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/classes/semver.js nan 178 6 1153 =======> 0.991356372833
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/functions/cmp.js nan 8 12 1287 =======> 0.887251675129
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/internal/debug.js nan 6 4 1958 =======> 0.979177176952
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/internal/debug.js nan 7 4 1965 =======> 0.979189097881
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/internal/parse-options.js nan 4 21 2016 =======> 0.518138110638
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/internal/re.js nan 30 22 2065 =======> 0.121553070843
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/internal/re.js nan 39 20 2095 =======> 0.838215351105
Total edge above 0.9 ===>  0


Source =====>/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/classes/range.js isSatisfiable 161 8 435
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/classes/comparator.js nan 4 17 67 =======> 0.152566298842
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/classes/comparator.js nan 8 14 71 =======> 0.973330855370
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/classes/comparator.js nan 34 8 101 =======> 0.670048594475
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/classes/comparator.js nan 55 11 130 =======> 0.655200064182
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/classes/comparator.js nan 59 7 134 =======> 0.975527167320
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/classes/comparator.js nan 77 13 150 =======> 0.958453595638
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/classes/range.js nan 3 14 236 =======> 0.977589011192
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/classes/range.js nan 41 11 276 =======> 0.884529709816
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/classes/range.js nan 45 14 282 =======> 0.162487596273
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/classes/range.js nan 55 33 297 =======> 0.126248672605
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/classes/range.js nan 72 9 313 =======> 0.333685547113
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/classes/range.js nan 74 11 317 =======> 0.854305267334
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/classes/range.js nan 80 11 324 =======> 0.827301979065
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/classes/range.js nan 84 13 327 =======> 0.981007039547
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/classes/range.js nan 119 11 374 =======> 0.709720611572
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/classes/range.js nan 123 11 378 =======> 0.767040550709
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/classes/range.js nan 127 35 383 =======> 0.735678017139
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/classes/range.js nan 138 38 399 =======> 0.947242796421
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/classes/range.js nan 154 13 424 =======> 0.965847551823
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/classes/range.js nan 159 25 432 =======> 0.625444829464
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/classes/range.js nan 162 23 438 =======> 0.545270264149
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/classes/range.js nan 165 34 444 =======> 0.614566683769
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/classes/range.js nan 166 44 448 =======> 0.553693354130
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/classes/range.js nan 177 7 454 =======> 0.985559344292
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/classes/range.js nan 217 18 502 =======> 0.099260218441
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/classes/range.js nan 218 14 504 =======> 0.126658275723
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/classes/range.js nan 222 22 506 =======> 0.964509606361
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/classes/range.js nan 228 40 518 =======> 0.581994473934
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/classes/range.js nan 241 24 525 =======> 0.973058402538
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/classes/range.js nan 254 12 542 =======> 0.842560291290
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/classes/range.js nan 263 22 548 =======> 0.765405237675
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/classes/range.js nan 267 9 554 =======> 0.888237953186
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/classes/range.js nan 271 21 558 =======> 0.874113440514
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/classes/range.js nan 273 25 565 =======> 0.746655046940
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/classes/range.js nan 307 22 614 =======> 0.790607392788
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/classes/range.js nan 311 9 620 =======> 0.844513893127
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/classes/range.js nan 315 21 624 =======> 0.938556134701
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/classes/range.js nan 319 25 635 =======> 0.742916464806
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/classes/range.js nan 368 23 729 =======> 0.950857460499
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/classes/range.js nan 372 9 735 =======> 0.874476134777
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/classes/range.js nan 376 22 739 =======> 0.931044459343
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/classes/range.js nan 379 25 747 =======> 0.308324158192
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/classes/range.js nan 453 21 801 =======> 0.952162861824
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/classes/range.js nan 461 20 808 =======> 0.957373678684
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/classes/range.js nan 473 22 817 =======> 0.206025287509
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/classes/range.js nan 473 31 819 =======> 0.002444378333
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/classes/range.js nan 505 16 898 =======> 0.252935767174
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/classes/semver.js nan 8 14 955 =======> 0.978105485439
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/classes/semver.js nan 64 44 1029 =======> 0.042670547962
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/classes/semver.js nan 79 9 1047 =======> 0.067218884826
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/classes/semver.js nan 87 11 1062 =======> 0.083742052317
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/classes/semver.js nan 91 10 1066 =======> 0.900355339050
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/classes/semver.js nan 107 14 1083 =======> 0.962605357170
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/classes/semver.js nan 119 13 1092 =======> 0.952482879162
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/classes/semver.js nan 152 15 1130 =======> 0.889958500862
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/classes/semver.js nan 178 6 1153 =======> 0.747497618198
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/internal/debug.js nan 6 4 1958 =======> 0.974526464939
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/internal/debug.js nan 7 4 1965 =======> 0.964458465576
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/internal/parse-options.js nan 4 21 2016 =======> 0.989817023277
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/internal/re.js nan 30 22 2065 =======> 0.310667097569
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/internal/re.js nan 39 20 2095 =======> 0.936154067516
Total edge above 0.9 ===>  0


Source =====>/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/classes/range.js debug 242 2 526
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/classes/comparator.js nan 4 17 67 =======> 0.310022622347
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/classes/comparator.js nan 8 14 71 =======> 0.985272943974
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/classes/comparator.js nan 34 8 101 =======> 0.760664701462
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/classes/comparator.js nan 55 11 130 =======> 0.685725450516
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/classes/comparator.js nan 59 7 134 =======> 0.863294243813
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/classes/comparator.js nan 77 13 150 =======> 0.987439572811
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/classes/range.js nan 3 14 236 =======> 0.973485231400
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/classes/range.js nan 41 11 276 =======> 0.019197251648
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/classes/range.js nan 45 14 282 =======> 0.013865081593
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/classes/range.js nan 55 33 297 =======> 0.010785366409
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/classes/range.js nan 72 9 313 =======> 0.343637287617
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/classes/range.js nan 74 11 317 =======> 0.028199940920
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/classes/range.js nan 80 11 324 =======> 0.698852181435
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/classes/range.js nan 84 13 327 =======> 0.947844207287
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/classes/range.js nan 119 11 374 =======> 0.005342214368
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/classes/range.js nan 123 11 378 =======> 0.007116753608
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/classes/range.js nan 127 35 383 =======> 0.203330859542
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/classes/range.js nan 138 38 399 =======> 0.045715920627
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/classes/range.js nan 154 13 424 =======> 0.939033806324
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/classes/range.js nan 159 25 432 =======> 0.002610897413
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/classes/range.js nan 162 23 438 =======> 0.001917787478
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/classes/range.js nan 165 34 444 =======> 0.003039079020
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/classes/range.js nan 166 44 448 =======> 0.002284584800
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/classes/range.js nan 177 7 454 =======> 0.966333866119
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/classes/range.js nan 217 18 502 =======> 0.045868299901
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/classes/range.js nan 218 14 504 =======> 0.026512259617
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/classes/range.js nan 222 22 506 =======> 0.210223019123
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/classes/range.js nan 228 40 518 =======> 0.002157658106
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/classes/range.js nan 241 24 525 =======> 0.909043908119
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/classes/range.js nan 254 12 542 =======> 0.984783232212
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/classes/range.js nan 263 22 548 =======> 0.035110075027
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/classes/range.js nan 267 9 554 =======> 0.053167812526
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/classes/range.js nan 271 21 558 =======> 0.071533031762
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/classes/range.js nan 273 25 565 =======> 0.660607516766
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/classes/range.js nan 307 22 614 =======> 0.030384559184
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/classes/range.js nan 311 9 620 =======> 0.024726144969
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/classes/range.js nan 315 21 624 =======> 0.329866439104
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/classes/range.js nan 319 25 635 =======> 0.643103778362
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/classes/range.js nan 368 23 729 =======> 0.175001502037
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/classes/range.js nan 372 9 735 =======> 0.030969148502
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/classes/range.js nan 376 22 739 =======> 0.170491039753
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/classes/range.js nan 379 25 747 =======> 0.130255699158
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/classes/range.js nan 453 21 801 =======> 0.208921909332
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/classes/range.js nan 461 20 808 =======> 0.208921134472
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/classes/range.js nan 473 22 817 =======> 0.156983926892
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/classes/range.js nan 473 31 819 =======> 0.001233180054
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/classes/range.js nan 505 16 898 =======> 0.433421939611
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/classes/semver.js nan 8 14 955 =======> 0.988721072674
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/classes/semver.js nan 64 44 1029 =======> 0.013732778840
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/classes/semver.js nan 79 9 1047 =======> 0.172363519669
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/classes/semver.js nan 87 11 1062 =======> 0.132351651788
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/classes/semver.js nan 91 10 1066 =======> 0.802620887756
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/classes/semver.js nan 107 14 1083 =======> 0.711899995804
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/classes/semver.js nan 119 13 1092 =======> 0.912891387939
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/classes/semver.js nan 152 15 1130 =======> 0.584924936295
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/classes/semver.js nan 178 6 1153 =======> 0.974214136600
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/internal/debug.js nan 6 4 1958 =======> 0.994217395782
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/internal/debug.js nan 7 4 1965 =======> 0.994162499905
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/internal/parse-options.js nan 4 21 2016 =======> 0.659366011620
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/internal/re.js nan 30 22 2065 =======> 0.029175367206
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/internal/re.js nan 39 20 2095 =======> 0.877257227898
Total edge above 0.9 ===>  0


Source =====>/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/classes/range.js debug 246 2 532
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/classes/comparator.js nan 4 17 67 =======> 0.034081906080
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/classes/comparator.js nan 8 14 71 =======> 0.975990355015
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/classes/comparator.js nan 34 8 101 =======> 0.391435772181
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/classes/comparator.js nan 55 11 130 =======> 0.167118385434
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/classes/comparator.js nan 59 7 134 =======> 0.631137609482
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/classes/comparator.js nan 77 13 150 =======> 0.902987241745
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/classes/range.js nan 3 14 236 =======> 0.955961942673
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/classes/range.js nan 41 11 276 =======> 0.007296510041
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/classes/range.js nan 45 14 282 =======> 0.004149005283
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/classes/range.js nan 55 33 297 =======> 0.002992052119
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/classes/range.js nan 72 9 313 =======> 0.099908798933
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/classes/range.js nan 74 11 317 =======> 0.009574101306
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/classes/range.js nan 80 11 324 =======> 0.178528249264
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/classes/range.js nan 84 13 327 =======> 0.839197933674
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/classes/range.js nan 119 11 374 =======> 0.001987239812
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/classes/range.js nan 123 11 378 =======> 0.002886638278
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/classes/range.js nan 127 35 383 =======> 0.081404104829
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/classes/range.js nan 138 38 399 =======> 0.016854053363
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/classes/range.js nan 154 13 424 =======> 0.777797400951
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/classes/range.js nan 159 25 432 =======> 0.001165407826
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/classes/range.js nan 162 23 438 =======> 0.000813447637
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/classes/range.js nan 165 34 444 =======> 0.001316123409
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/classes/range.js nan 166 44 448 =======> 0.000894564961
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/classes/range.js nan 177 7 454 =======> 0.890311837196
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/classes/range.js nan 217 18 502 =======> 0.010425483808
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/classes/range.js nan 218 14 504 =======> 0.006321187131
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-semver/classes/range.js nan 222 22 506 =======> 0.121879145503
