Source =====>/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/evaluate-by-operator/evaluate-by-operator.js operator 33 9 28049
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/grammar-parser/grammar-parser.js parseError 264 12 28853 =======> 0.000000000278
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/grammar-parser/grammar-parser.js parse 273 7 28865 =======> 0.000000000310
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/grammar-parser/grammar-parser.js popStack 317 4 28917 =======> 0.000000000004
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/grammar-parser/grammar-parser.js nan 323 14 28922 =======> 0.000000000008
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/grammar-parser/grammar-parser.js locateNearestErrorRecoveryRule 356 12 28955 =======> 0.000000000000
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/grammar-parser/grammar-parser.js nan 511 13 29048 =======> 0.999738037586
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/grammar-parser/grammar-parser.js parseError 516 11 29051 =======> 0.000000577210
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/grammar-parser/grammar-parser.js nan 525 9 29056 =======> 0.000000002619
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/grammar-parser/grammar-parser.js nan 546 6 29070 =======> 0.000000000006
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/grammar-parser/grammar-parser.js nan 569 6 29087 =======> 0.000000011364
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/grammar-parser/grammar-parser.js nan 604 5 29107 =======> 0.000000005088
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/grammar-parser/grammar-parser.js nan 610 7 29110 =======> 0.000000000847
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/grammar-parser/grammar-parser.js nan 625 5 29119 =======> 0.000003182013
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/grammar-parser/grammar-parser.js nan 630 10 29123 =======> 0.000001277005
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/grammar-parser/grammar-parser.js nan 636 14 29134 =======> 0.000002522557
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/grammar-parser/grammar-parser.js nan 645 13 29143 =======> 0.000007352645
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/grammar-parser/grammar-parser.js nan 652 11 29154 =======> 0.000000000107
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/grammar-parser/grammar-parser.js nan 724 5 29182 =======> 0.000000000467
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/grammar-parser/grammar-parser.js lex 782 4 29225 =======> 0.000000038629
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/grammar-parser/grammar-parser.js begin 792 6 29233 =======> 0.000000003572
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/grammar-parser/grammar-parser.js popState 797 9 29237 =======> 0.000000000023
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/grammar-parser/grammar-parser.js _currentRules 807 14 29244 =======> 0.000000000159
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/grammar-parser/grammar-parser.js topState 816 9 29250 =======> 0.000000001694
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/grammar-parser/grammar-parser.js pushState 826 10 29258 =======> 0.000000002086
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/grammar-parser/grammar-parser.js stateStackSize 831 15 29261 =======> 0.000000000012
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/grammar-parser/grammar-parser.js anonymous 835 15 29264 =======> 0.000000025623
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/grammar-parser/grammar-parser.js Parser 920 7 29387 =======> 0.997280597687
Total edge above 0.9 ===>  0


Source =====>/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/helper/cell.js columnIndexToLabel 113 55 29492
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/helper/cell.js rowLabelToIndex 7 7 29392 =======> 0.999993681908
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/helper/cell.js rowIndexToLabel 25 7 29409 =======> 0.999930977821
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/helper/cell.js columnLabelToIndex 44 7 29424 =======> 0.999994635582
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/helper/cell.js columnIndexToLabel 65 7 29443 =======> 0.999978780746
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/helper/cell.js extractLabel 84 7 29458 =======> 0.999995350838
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/helper/cell.js toLabel 111 7 29483 =======> 0.999951601028
Total edge above 0.9 ===>  0


Source =====>/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/parser.js GrammarParser 15 18 29630
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/error.js error 27 15 27960 =======> 0.999995112419
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/error.js isValidStrict 45 7 27971 =======> 0.999989748001
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/evaluate-by-operator/evaluate-by-operator.js evaluateByOperator 26 15 28035 =======> 0.998311281204
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/evaluate-by-operator/evaluate-by-operator.js registerOperation 42 7 28052 =======> 0.000089382316
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/evaluate-by-operator/evaluate-by-operator.js nan 46 17 28065 =======> 0.000000182690
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/grammar-parser/grammar-parser.js nan 75 6 28384 =======> 0.998639523983
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/grammar-parser/grammar-parser.js trace 76 21 28455 =======> 0.000000000003
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/grammar-parser/grammar-parser.js anonymous 81 15 28512 =======> 0.975857198238
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/grammar-parser/grammar-parser.js parseError 264 12 28853 =======> 0.000000000051
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/grammar-parser/grammar-parser.js parse 273 7 28865 =======> 0.000000000073
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/grammar-parser/grammar-parser.js popStack 317 4 28917 =======> 0.000000000001
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/grammar-parser/grammar-parser.js nan 323 14 28922 =======> 0.000000000002
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/grammar-parser/grammar-parser.js locateNearestErrorRecoveryRule 356 12 28955 =======> 0.000000000000
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/grammar-parser/grammar-parser.js nan 511 13 29048 =======> 0.995480537415
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/grammar-parser/grammar-parser.js parseError 516 11 29051 =======> 0.000000178869
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/grammar-parser/grammar-parser.js nan 525 9 29056 =======> 0.000000000748
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/grammar-parser/grammar-parser.js nan 546 6 29070 =======> 0.000000000002
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/grammar-parser/grammar-parser.js nan 569 6 29087 =======> 0.000000004109
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/grammar-parser/grammar-parser.js nan 604 5 29107 =======> 0.000000001205
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/grammar-parser/grammar-parser.js nan 610 7 29110 =======> 0.000000000837
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/grammar-parser/grammar-parser.js nan 625 5 29119 =======> 0.000000046039
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/grammar-parser/grammar-parser.js nan 630 10 29123 =======> 0.000001367291
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/grammar-parser/grammar-parser.js nan 636 14 29134 =======> 0.000001090530
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/grammar-parser/grammar-parser.js nan 645 13 29143 =======> 0.000000536163
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/grammar-parser/grammar-parser.js nan 652 11 29154 =======> 0.000000000031
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/grammar-parser/grammar-parser.js nan 724 5 29182 =======> 0.000000000278
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/grammar-parser/grammar-parser.js lex 782 4 29225 =======> 0.000000009145
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/grammar-parser/grammar-parser.js begin 792 6 29233 =======> 0.000000000340
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/grammar-parser/grammar-parser.js popState 797 9 29237 =======> 0.000000000010
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/grammar-parser/grammar-parser.js _currentRules 807 14 29244 =======> 0.000000000019
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/grammar-parser/grammar-parser.js topState 816 9 29250 =======> 0.000000000613
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/grammar-parser/grammar-parser.js pushState 826 10 29258 =======> 0.000000000157
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/grammar-parser/grammar-parser.js stateStackSize 831 15 29261 =======> 0.000000000004
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/grammar-parser/grammar-parser.js anonymous 835 15 29264 =======> 0.000000011670
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/grammar-parser/grammar-parser.js Parser 920 7 29387 =======> 0.901586413383
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/helper/cell.js rowLabelToIndex 7 7 29392 =======> 0.999992489815
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/helper/cell.js rowIndexToLabel 25 7 29409 =======> 0.999998211861
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/helper/cell.js columnLabelToIndex 44 7 29424 =======> 0.999995350838
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/helper/cell.js columnIndexToLabel 65 7 29443 =======> 0.999876022339
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/helper/cell.js extractLabel 84 7 29458 =======> 0.999958753586
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/helper/cell.js toLabel 111 7 29483 =======> 0.999989509583
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/helper/number.js toNumber 7 7 29496 =======> 0.999733269215
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/helper/number.js invertNumber 26 7 29515 =======> 0.995841443539
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/helper/string.js trimEdges 9 7 29522 =======> 0.954727709293
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/parser.js nan 13 13 29626 =======> 0.998467028141
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/parser.js nan 20 18 29634 =======> 0.264989554882
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/parser.js nan 21 20 29639 =======> 0.000301781663
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/parser.js nan 23 20 29644 =======> 0.027268394828
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/parser.js nan 24 17 29650 =======> 0.016449363902
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/parser.js nan 25 18 29655 =======> 0.000472627085
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/parser.js nan 42 7 29672 =======> 0.999999403954
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/parser.js nan 80 13 29695 =======> 0.999993443489
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/parser.js nan 92 13 29699 =======> 0.999959707260
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/parser.js nan 103 15 29702 =======> 0.999566733837
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/parser.js nan 106 36 29707 =======> 0.000000541350
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/parser.js nan 126 13 29718 =======> 0.998237848282
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/parser.js nan 138 13 29723 =======> 0.999343335629
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/parser.js nan 150 15 29726 =======> 0.999810397625
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/parser.js nan 158 44 29735 =======> 0.000001273648
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/parser.js nan 174 16 29743 =======> 0.999984979630
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/parser.js nan 180 53 29756 =======> 0.880115151405
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/parser.js nan 195 17 29760 =======> 0.999157786369
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/parser.js nan 225 52 29789 =======> 0.963614046574
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/parser.js nan 239 13 29794 =======> 0.999998927116
Total edge above 0.9 ===>  0


Source =====>/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/parser.js errorParser 63 14 29690
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/error.js error 27 15 27960 =======> 0.999996781349
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/error.js isValidStrict 45 7 27971 =======> 0.999991297722
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/evaluate-by-operator/evaluate-by-operator.js evaluateByOperator 26 15 28035 =======> 0.994742155075
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/evaluate-by-operator/evaluate-by-operator.js registerOperation 42 7 28052 =======> 0.000002464606
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/evaluate-by-operator/evaluate-by-operator.js nan 46 17 28065 =======> 0.000000000917
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/grammar-parser/grammar-parser.js nan 75 6 28384 =======> 0.952040433884
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/grammar-parser/grammar-parser.js trace 76 21 28455 =======> 0.000000000000
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/grammar-parser/grammar-parser.js anonymous 81 15 28512 =======> 0.229806751013
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/grammar-parser/grammar-parser.js parseError 264 12 28853 =======> 0.000000000000
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/grammar-parser/grammar-parser.js parse 273 7 28865 =======> 0.000000000000
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/grammar-parser/grammar-parser.js popStack 317 4 28917 =======> 0.000000000000
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/grammar-parser/grammar-parser.js nan 323 14 28922 =======> 0.000000000000
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/grammar-parser/grammar-parser.js locateNearestErrorRecoveryRule 356 12 28955 =======> 0.000000000000
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/grammar-parser/grammar-parser.js nan 511 13 29048 =======> 0.673343837261
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/grammar-parser/grammar-parser.js parseError 516 11 29051 =======> 0.000000000063
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/grammar-parser/grammar-parser.js nan 525 9 29056 =======> 0.000000000000
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/grammar-parser/grammar-parser.js nan 546 6 29070 =======> 0.000000000000
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/grammar-parser/grammar-parser.js nan 569 6 29087 =======> 0.000000000001
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/grammar-parser/grammar-parser.js nan 604 5 29107 =======> 0.000000000000
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/grammar-parser/grammar-parser.js nan 610 7 29110 =======> 0.000000000000
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/grammar-parser/grammar-parser.js nan 625 5 29119 =======> 0.000000000524
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/grammar-parser/grammar-parser.js nan 630 10 29123 =======> 0.000000000191
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/grammar-parser/grammar-parser.js nan 636 14 29134 =======> 0.000000000241
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/grammar-parser/grammar-parser.js nan 645 13 29143 =======> 0.000000000547
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/grammar-parser/grammar-parser.js nan 652 11 29154 =======> 0.000000000000
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/grammar-parser/grammar-parser.js nan 724 5 29182 =======> 0.000000000000
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/grammar-parser/grammar-parser.js lex 782 4 29225 =======> 0.000000000003
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/grammar-parser/grammar-parser.js begin 792 6 29233 =======> 0.000000000000
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/grammar-parser/grammar-parser.js popState 797 9 29237 =======> 0.000000000000
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/grammar-parser/grammar-parser.js _currentRules 807 14 29244 =======> 0.000000000000
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/grammar-parser/grammar-parser.js topState 816 9 29250 =======> 0.000000000000
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/grammar-parser/grammar-parser.js pushState 826 10 29258 =======> 0.000000000000
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/grammar-parser/grammar-parser.js stateStackSize 831 15 29261 =======> 0.000000000000
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/grammar-parser/grammar-parser.js anonymous 835 15 29264 =======> 0.000000000004
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/grammar-parser/grammar-parser.js Parser 920 7 29387 =======> 0.421773105860
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/helper/cell.js rowLabelToIndex 7 7 29392 =======> 0.999991416931
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/helper/cell.js rowIndexToLabel 25 7 29409 =======> 0.999994635582
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/helper/cell.js columnLabelToIndex 44 7 29424 =======> 0.999994635582
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/helper/cell.js columnIndexToLabel 65 7 29443 =======> 0.999975919724
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/helper/cell.js extractLabel 84 7 29458 =======> 0.999971032143
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/helper/cell.js toLabel 111 7 29483 =======> 0.999990820885
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/helper/number.js toNumber 7 7 29496 =======> 0.999859213829
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/helper/number.js invertNumber 26 7 29515 =======> 0.999620676041
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/helper/string.js trimEdges 9 7 29522 =======> 0.573720157146
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/parser.js nan 13 13 29626 =======> 0.997954487801
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/parser.js nan 20 18 29634 =======> 0.036274809390
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/parser.js nan 21 20 29639 =======> 0.000012100435
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/parser.js nan 23 20 29644 =======> 0.002296547871
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/parser.js nan 24 17 29650 =======> 0.000590486918
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/parser.js nan 25 18 29655 =======> 0.000008194869
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/parser.js nan 42 7 29672 =======> 0.999937415123
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/parser.js nan 80 13 29695 =======> 0.999948740005
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/parser.js nan 92 13 29699 =======> 0.999945759773
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/parser.js nan 103 15 29702 =======> 0.998130261898
